# Wavelength[um]	NEP[W Hz^-0.5]	NEI[Jy/sr s^1/2]
4.11643660e+02	1.24408408e-17	4.37788425e+07
4.12563871e+02	1.21837079e-17	4.24989021e+07
4.13486139e+02	1.20309895e-17	4.18258332e+07
4.14410468e+02	1.20759915e-17	4.20335383e+07
4.15336864e+02	1.19882241e-17	4.17761500e+07
4.16265331e+02	1.17010713e-17	4.07370430e+07
4.17195873e+02	1.16907629e-17	4.07630035e+07
4.18128496e+02	1.17081460e-17	4.12134917e+07
4.19063203e+02	1.18711605e-17	4.22642409e+07
4.20000000e+02	1.11214136e-17	4.49402213e+07
