# Wavelength[um]	NEP[W Hz^-0.5]	NEI[Jy/sr s^1/2]
3.10761537e+02	1.73501561e-17	8.82250275e+07
3.11448592e+02	1.72872548e-17	8.79392893e+07
3.12137166e+02	1.72123073e-17	8.73613987e+07
3.12827263e+02	1.75594684e-17	8.91239157e+07
3.13518885e+02	1.73956600e-17	8.78603350e+07
3.14212036e+02	1.71262263e-17	8.62183746e+07
3.14906720e+02	1.70583142e-17	8.60717128e+07
3.15602940e+02	1.73918377e-17	8.79995820e+07
3.16300698e+02	1.79509946e-17	9.06931521e+07
3.17000000e+02	1.56895240e-17	9.06351998e+07
