#	FP3109  TIM-JPL 33cm-1 LPE	29 Mar 2022		
10.062017	0.7256275857		
10.124514	0.7650816626		
10.187011	0.8163055251			
10.249508	0.8513515652			
10.312005	0.8591567402			
10.374502	0.8495466612			
10.436999	0.8377397687			
10.499496	0.8305399342			
10.561993	0.8295575707			
10.62449	0.8335541052			
10.686987	0.8357592584			
10.749484	0.8304536577			
10.811981	0.8219515786			
10.874478	0.8178647209			
10.936975	0.81871981			
10.999472	0.8226522938			
11.061969	0.8348352279			
11.124466	0.859472539			
11.186963	0.8844922407			
11.24946	0.8882378312			
11.311957	0.8657045066			
11.374454	0.8368512944			
11.436951	0.8232904806			
11.499448	0.8244026265			
11.561945	0.8262694049			
11.624442	0.8249176907			
11.686939	0.8285050888			
11.749436	0.8392318861			
11.811933	0.8474945422			
11.87443	0.8449897161			
11.936927	0.8334518734			
11.999424	0.8220565789			
12.061921	0.8180524456			
12.124418	0.8204378812			
12.186915	0.8227341612			
12.249412	0.8194437979			
12.311909	0.8102016148			
12.374406	0.7986876464			
12.436903	0.7887293323			
12.4994	0.7823520587			
12.561897	0.7791362655			
12.624394	0.7763272409			
12.686891	0.7718687112			
12.749388	0.7673268876			
12.811885	0.76540903			
12.874382	0.7645708936			
12.936879	0.7595401862			
12.999376	0.7485870442			
13.061873	0.7375710217			
13.12437	0.7340320077			
13.186867	0.7375075911			
13.249364	0.7416196095			
13.311861	0.7430865517			
13.374358	0.7422701841			
13.436855	0.739368383			
13.499352	0.7358561692			
13.561849	0.7369509523			
13.624346	0.7460426237			
13.686843	0.7571479197			
13.74934	0.7600182885			
13.811837	0.7539274175			
13.874334	0.7477653807			
13.936831	0.7481053277			
13.999328	0.7532001313			
14.061825	0.7576743446			
14.124322	0.7595096134			
14.186819	0.7602664211			
14.249316	0.7617899558			
14.311813	0.7664693882			
14.37431	0.7773636994			
14.436807	0.7940630428			
14.499304	0.810908603			
14.561801	0.8224843683			
14.624298	0.8289265652			
14.686795	0.8338384319			
14.749292	0.8390452908			
14.811789	0.8436041201			
14.874286	0.8476513415			
14.936783	0.8537128099			
14.99928	0.8619885684			
15.061777	0.867762422			
15.124274	0.8670060677			
15.186771	0.8629266422			
15.249268	0.8630359193			
15.311765	0.8702537529			
15.374262	0.879697291			
15.436759	0.8842213277			
15.499256	0.8830609631			
15.561753	0.8831638723			
15.62425	0.8899909455			
15.686747	0.9007060228			
15.749244	0.9073149021			
15.811741	0.9054756658			
15.874238	0.9003782533			
15.936735	0.9010264517			
15.999232	0.9101138719			
16.061729	0.9224887856			
16.124226	0.9305731597			
16.186723	0.9300332263			
16.24922	0.9220224683			
16.311717	0.9115885714			
16.374214	0.9046789401			
16.436711	0.9046921924			
16.499208	0.9097752465			
16.561705	0.9147687475			
16.624202	0.9163505566			
16.686699	0.9151379684			
16.749196	0.913588024			
16.811693	0.9131167503			
16.87419	0.9130192025			
16.936687	0.9111208246			
16.999184	0.905468601			
17.061681	0.8962821714			
17.124178	0.8861064713			
17.186675	0.8776289466			
17.249172	0.8714801384			
17.311669	0.8661412207			
17.374166	0.8603181557			
17.436663	0.8548388011			
17.49916	0.8512012058			
17.561657	0.8492432912			
17.624154	0.8474166561			
17.686651	0.8445731442			
17.749148	0.8400940729			
17.811645	0.8328948771			
17.874142	0.8224804348			
17.936639	0.8115449349			
17.999136	0.805039895			
18.061633	0.8048459166			
18.12413	0.8064343124			
18.186627	0.8032927162			
18.249124	0.7953084983			
18.311621	0.7890482063			
18.374118	0.7891323402			
18.436615	0.7932747313			
18.499112	0.7963111642			
18.561609	0.7964764174			
18.624106	0.7958821962			
18.686603	0.7961766691			
18.7491	0.7967276057			
18.811597	0.7973786526			
18.874094	0.8001413925			
18.936591	0.8063333783			
18.999088	0.8138587479			
19.061585	0.8191322118			
19.124082	0.8211749788			
19.186579	0.8226044311			
19.249076	0.8262399652			
19.311573	0.8315963332			
19.37407	0.835583729			
19.436567	0.8365584147			
19.499064	0.8363877777			
19.561561	0.8377479156			
19.624058	0.8407939497			
19.686555	0.8438255467			
19.749052	0.8464712095			
19.811549	0.8502913976			
19.874046	0.8561446219			
19.936543	0.8629590031			
19.99904	0.8694775897			
20.061537	0.8755566744			
20.124034	0.881044218			
20.186531	0.8847799736			
20.249028	0.8859682029			
20.311525	0.8859015373			
20.374022	0.8869278906			
20.436519	0.8895509347			
20.499016	0.8921739283			
20.561513	0.8941756764			
20.62401	0.896886588			
20.686507	0.9013055329			
20.749004	0.9070203444			
20.811501	0.9132157161			
20.873998	0.9191072023			
20.936495	0.9234653908			
20.998992	0.9253616873			
21.061489	0.9258449742			
21.123986	0.9276269732			
21.186483	0.9319131269			
21.24898	0.9365497884			
21.311477	0.9387201249			
21.373974	0.9380022072			
21.436471	0.9360481729			
21.498968	0.9346176105			
21.561465	0.934621834			
21.623962	0.9364176956			
21.686459	0.9397922552			
21.748956	0.9434931708			
21.811453	0.945768847			
21.87395	0.9458053342			
21.936447	0.9442401324			
21.998944	0.9424032876			
22.061441	0.9412450678			
22.123938	0.9405643905			
22.186435	0.9390980067			
22.248932	0.9357621454			
22.311429	0.9310409784			
22.373926	0.9266129444			
22.436423	0.9231578975			
22.49892	0.9193628421			
22.561417	0.9140838984			
22.623914	0.9089509515			
22.686411	0.9068404351			
22.748908	0.9077283175			
22.811405	0.9081788806			
22.873902	0.905375766			
22.936399	0.9004674167			
22.998896	0.8967469726			
23.061393	0.8953604771			
23.12389	0.8945420866			
23.186387	0.8928065569			
23.248884	0.8909555897			
23.311381	0.8902940092			
23.373878	0.8903765513			
23.436375	0.8894342816			
23.498872	0.886717569			
23.561369	0.8836769203			
23.623866	0.8825732433			
23.686363	0.8844181377			
23.74886	0.8883332395			
23.811357	0.8925228978			
23.873854	0.8957202617			
23.936351	0.8979420242			
23.998848	0.900092494			
24.061345	0.9027744474			
24.123842	0.905479049			
24.186339	0.9070763457			
24.248836	0.9072188959			
24.311333	0.9070579291			
24.37383	0.9079373828			
24.436327	0.9094941864			
24.498824	0.9099736713			
24.561321	0.9086591687			
24.623818	0.9072083772			
24.686315	0.9078385621			
24.748812	0.9109158664			
24.811309	0.9149387989			
24.873806	0.9181780007			
24.936303	0.9199017992			
24.9988	0.92032332			
25.061297	0.9199759419			
25.123794	0.9193581682			
25.186291	0.9186887983			
25.248788	0.917644722			
25.311285	0.9156512803			
25.373782	0.9127711216			
25.436279	0.9101306243			
25.498776	0.9091003293			
25.561273	0.9101710132			
25.62377	0.9127635175			
25.686267	0.9157812002			
25.748764	0.9183054282			
25.811261	0.920091056			
25.873758	0.9215784562			
25.936255	0.9233471209			
25.998752	0.9253713147			
26.061249	0.9269138804			
26.123746	0.9272910081			
26.186243	0.9265767783			
26.24874	0.925615692			
26.311237	0.9254864743			
26.373734	0.9267683949			
26.436231	0.9291130988			
26.498728	0.9314584766			
26.561225	0.9327511388			
26.623722	0.9327421033			
26.686219	0.9322176755			
26.748716	0.9322498448			
26.811213	0.9330544587			
26.87371	0.9338217472			
26.936207	0.9337877092			
26.998704	0.9330806342			
27.061201	0.9324126409			
27.123698	0.9322654			
27.186195	0.9324734398			
27.248692	0.9323667779			
27.311189	0.9310743671			
27.373686	0.9279162933			
27.436183	0.9231146298			
27.49868	0.9181238604			
27.561177	0.9145299415			
27.623674	0.9126071198			
27.686171	0.9114862834			
27.748668	0.9105119854			
27.811165	0.9098412765			
27.873662	0.909589593			
27.936159	0.909025504			
27.998656	0.9072723998			
28.061153	0.9044446825			
28.12365	0.9014877481			
28.186147	0.8990284688			
28.248644	0.8968230641			
28.311141	0.8945108826			
28.373638	0.8923654748			
28.436135	0.8908985504			
28.498632	0.8901639179			
28.561129	0.8897626453			
28.623626	0.8893584906			
28.686123	0.8889372385			
28.74862	0.8885721498			
28.811117	0.8881515806			
28.873614	0.8873945104			
28.936111	0.8860476488			
28.998608	0.8841253483			
29.061105	0.8820374152			
29.123602	0.8803291063			
29.186099	0.8791280118			
29.248596	0.8779505938			
29.311093	0.8762517809			
29.37359	0.8741938995			
29.436087	0.8725947025			
29.498584	0.8719192263			
29.561081	0.871717906			
29.623578	0.8712653452			
29.686075	0.87034888			
29.748572	0.8692933542			
29.811069	0.8684637314			
29.873566	0.8678900651			
29.936063	0.8673784501			
29.99856	0.8668936832			
30.061057	0.8667073426			
30.123554	0.8671948821			
30.186051	0.8684942848			
30.248548	0.8702866596			
30.311045	0.8719642777			
30.373542	0.8730763908			
30.436039	0.8735974499			
30.498536	0.8738426211			
30.561033	0.8742047773			
30.62353	0.8748986519			
30.686027	0.8758258733			
30.748524	0.8766709944			
30.811021	0.8772062544			
30.873518	0.8775511373			
30.936015	0.8781357142			
30.998512	0.8793491557			
31.061009	0.8811644971			
31.123506	0.8831436974			
31.186003	0.8848202842			
31.2485	0.886041952			
31.310997	0.8869781738			
31.373494	0.8878417387			
31.435991	0.8885977091			
31.498488	0.8889129758			
31.560985	0.8883751305			
31.623482	0.8867841841			
31.685979	0.8842250556			
31.748476	0.8808465801			
31.810973	0.8766623256			
31.87347	0.8716615334			
31.935967	0.8659958115			
31.998464	0.8597647097			
32.060961	0.8525702358			
32.123458	0.8436457775			
32.185955	0.8328293069			
32.248452	0.8212881572			
32.310949	0.8106443712			
32.373446	0.8012337202			
32.435943	0.791829717			
32.49844	0.7813562344			
32.560937	0.7701944637			
32.623434	0.7593498179			
32.685931	0.7489061989			
32.748428	0.7379241785			
32.810925	0.7258118347			
32.873422	0.7131595208			
32.935919	0.7010239202			
32.998416	0.6899045731			
33.060913	0.6797627153			
33.12341	0.6707645737			
33.185907	0.663365313			
33.248404	0.6575512045			
33.310901	0.6524248393			
33.373398	0.6468940908			
33.435895	0.6406358018			
33.498392	0.6339955543			
33.560889	0.6271141084			
33.623386	0.619532748			
33.685883	0.6106182035			
33.74838	0.6002532362			
33.810877	0.5891089916			
33.873374	0.5780203065			
33.935871	0.5669909384			
33.998368	0.555122858			
34.060865	0.5414635019			
34.123362	0.5257757819			
34.185859	0.5086852463			
34.248356	0.4911364288			
34.310853	0.4736531928			
34.37335	0.4560367396			
34.435847	0.4375672908			
34.498344	0.4175667076			
34.560841	0.3961142135			
34.623338	0.3742132571			
34.685835	0.3528746273			
34.748332	0.332004186			
34.810829	0.3105821433			
34.873326	0.2880877082			
34.935823	0.2654489714			
34.99832	0.2441379202			
35.060817	0.2245385957			
35.123314	0.2059100687			
35.185811	0.1876662259			
35.248308	0.1699748089			
35.310805	0.1532323682			
35.373302	0.1374947998			
35.435799	0.1225694798			
35.498296	0.1083881049			
35.560793	0.0950883954			
35.62329	0.08285370648			
35.685787	0.07185364018			
35.748284	0.06223099655			
35.810781	0.05394307559			
35.873278	0.04669317125			
35.935775	0.04020005876			
35.998272	0.03448942207			
36.060769	0.02975367518			
36.123266	0.02591017918			
36.185763	0.02248889522			
36.24826	0.01911775372			
36.310757	0.01597484153			
36.373254	0.01349198568			
36.435751	0.01169536725			
36.498248	0.01010047302			
36.560745	0.008297478677			
36.623242	0.006529820308			
36.685739	0.005413085772			
